customer_id,interaction_count,segment
58186,1,cold_start
58317,1,cold_start
58432,1,cold_start
58567,1,cold_start
58879,1,cold_start
59691,1,cold_start
59737,2,regular
59813,1,cold_start
60232,1,cold_start
60405,1,cold_start
61255,1,cold_start
61306,1,cold_start
61636,2,regular
61841,1,cold_start
62086,1,cold_start
62762,1,cold_start
62951,2,regular
63031,1,cold_start
63059,1,cold_start
63069,1,cold_start
63073,1,cold_start
63112,1,cold_start
63684,1,cold_start
63734,2,regular
63810,1,cold_start
63868,1,cold_start
63897,1,cold_start
64150,2,regular
64198,1,cold_start
64372,2,regular
64729,1,cold_start
64755,1,cold_start
64889,1,cold_start
64965,1,cold_start
64970,1,cold_start
65024,1,cold_start
65431,1,cold_start
65784,1,cold_start
65862,1,cold_start
65873,1,cold_start
66340,4,regular
66381,1,cold_start
66436,1,cold_start
66666,1,cold_start
67077,4,regular
67179,1,cold_start
67258,1,cold_start
67364,1,cold_start
67480,1,cold_start
67563,1,cold_start
67917,1,cold_start
68176,2,regular
68275,3,regular
68315,1,cold_start
68342,1,cold_start
68585,1,cold_start
68895,3,regular
68951,1,cold_start
69039,1,cold_start
69146,1,cold_start
69214,1,cold_start
69370,1,cold_start
69427,1,cold_start
69445,2,regular
69641,1,cold_start
70012,1,cold_start
70158,1,cold_start
70354,1,cold_start
70526,1,cold_start
70843,1,cold_start
71047,1,cold_start
71115,1,cold_start
71150,2,regular
71247,3,regular
71248,1,cold_start
71315,1,cold_start
71353,2,regular
71357,1,cold_start
71487,1,cold_start
71582,1,cold_start
71770,1,cold_start
71777,1,cold_start
71956,1,cold_start
72130,1,cold_start
72223,1,cold_start
72243,1,cold_start
72464,1,cold_start
72467,1,cold_start
72630,1,cold_start
72758,1,cold_start
72865,1,cold_start
73334,1,cold_start
74489,1,cold_start
74662,1,cold_start
74812,1,cold_start
74887,1,cold_start
75898,1,cold_start
75905,1,cold_start
75939,1,cold_start
75946,1,cold_start
76357,1,cold_start
77241,1,cold_start
77300,1,cold_start
77582,1,cold_start
77741,1,cold_start
77765,1,cold_start
78157,1,cold_start
78273,1,cold_start
78455,1,cold_start
78880,1,cold_start
78895,1,cold_start
79172,1,cold_start
79275,1,cold_start
79602,1,cold_start
79668,1,cold_start
79928,3,regular
79976,2,regular
80020,1,cold_start
80388,1,cold_start
80479,1,cold_start
80645,1,cold_start
80710,1,cold_start
80714,1,cold_start
80715,1,cold_start
80874,1,cold_start
81027,1,cold_start
81102,2,regular
81123,1,cold_start
81187,1,cold_start
81247,1,cold_start
81619,2,regular
82265,1,cold_start
82369,2,regular
82424,1,cold_start
82485,1,cold_start
82609,1,cold_start
82716,1,cold_start
82870,1,cold_start
83454,1,cold_start
83779,1,cold_start
83862,1,cold_start
84091,1,cold_start
84790,1,cold_start
85173,1,cold_start
85202,1,cold_start
85288,1,cold_start
85592,1,cold_start
85667,1,cold_start
85749,1,cold_start
85859,1,cold_start
85989,1,cold_start
85996,1,cold_start
86267,1,cold_start
86286,1,cold_start
86331,1,cold_start
86932,1,cold_start
87010,1,cold_start
87423,1,cold_start
87698,1,cold_start
87710,1,cold_start
87781,1,cold_start
88168,1,cold_start
88366,3,regular
88410,1,cold_start
88416,1,cold_start
88523,1,cold_start
88597,1,cold_start
88616,3,regular
88651,2,regular
88767,1,cold_start
88790,1,cold_start
89176,1,cold_start
89362,1,cold_start
89719,1,cold_start
89783,1,cold_start
89860,1,cold_start
89868,1,cold_start
89903,1,cold_start
90002,1,cold_start
90088,1,cold_start
90177,1,cold_start
90305,1,cold_start
90337,2,regular
90460,1,cold_start
91001,1,cold_start
91055,1,cold_start
91075,1,cold_start
91091,3,regular
91325,1,cold_start
91527,1,cold_start
91672,1,cold_start
91750,1,cold_start
91881,1,cold_start
92390,1,cold_start
92597,1,cold_start
92895,1,cold_start
92963,2,regular
93411,2,regular
93456,2,regular
94039,1,cold_start
94162,1,cold_start
94172,1,cold_start
94271,1,cold_start
94875,1,cold_start
95148,1,cold_start
95310,1,cold_start
95358,1,cold_start
95481,2,regular
95633,1,cold_start
95712,1,cold_start
95730,1,cold_start
96853,1,cold_start
97124,1,cold_start
97737,1,cold_start
97876,1,cold_start
97907,1,cold_start
98519,2,regular
98567,1,cold_start
98578,1,cold_start
99928,2,regular
100149,1,cold_start
100203,1,cold_start
100266,1,cold_start
100735,3,regular
100956,2,regular
101246,1,cold_start
101254,1,cold_start
101311,1,cold_start
101586,1,cold_start
101604,1,cold_start
101769,1,cold_start
101795,1,cold_start
102106,1,cold_start
102114,1,cold_start
102139,3,regular
102418,1,cold_start
103888,1,cold_start
103918,1,cold_start
103933,1,cold_start
104455,1,cold_start
104606,2,regular
105260,1,cold_start
105405,1,cold_start
106422,2,regular
106649,1,cold_start
106745,1,cold_start
107451,1,cold_start
107474,1,cold_start
107620,1,cold_start
107695,1,cold_start
108061,1,cold_start
108106,1,cold_start
108150,1,cold_start
108245,1,cold_start
108666,3,regular
108771,1,cold_start
109002,1,cold_start
109547,1,cold_start
109563,1,cold_start
109656,1,cold_start
110510,1,cold_start
110523,1,cold_start
110529,1,cold_start
110880,2,regular
110896,1,cold_start
111160,1,cold_start
111352,1,cold_start
111385,1,cold_start
111386,1,cold_start
111699,1,cold_start
112007,1,cold_start
112123,1,cold_start
112326,1,cold_start
112404,2,regular
113034,1,cold_start
113348,1,cold_start
113617,1,cold_start
114113,1,cold_start
114138,2,regular
114186,1,cold_start
114538,1,cold_start
115068,1,cold_start
115710,1,cold_start
115722,1,cold_start
116278,2,regular
116396,1,cold_start
116556,1,cold_start
116567,1,cold_start
117263,1,cold_start
117822,3,regular
117913,1,cold_start
117938,2,regular
118173,1,cold_start
118189,1,cold_start
118265,1,cold_start
119033,1,cold_start
119066,1,cold_start
119080,1,cold_start
119564,1,cold_start
119633,1,cold_start
119965,1,cold_start
120327,1,cold_start
120447,1,cold_start
120812,1,cold_start
120955,1,cold_start
120997,1,cold_start
121109,3,regular
121222,1,cold_start
121415,1,cold_start
121424,2,regular
121494,1,cold_start
121861,1,cold_start
121908,1,cold_start
122215,1,cold_start
122317,1,cold_start
122329,1,cold_start
122970,1,cold_start
123068,1,cold_start
123408,1,cold_start
123523,1,cold_start
123577,1,cold_start
124139,1,cold_start
124504,2,regular
124982,1,cold_start
125039,1,cold_start
125263,1,cold_start
125486,2,regular
125662,1,cold_start
125916,1,cold_start
126016,1,cold_start
126173,1,cold_start
126476,1,cold_start
126679,1,cold_start
126746,1,cold_start
126898,1,cold_start
126912,2,regular
127320,1,cold_start
127643,2,regular
127871,1,cold_start
128085,1,cold_start
128322,1,cold_start
128328,2,regular
128493,1,cold_start
128508,1,cold_start
128821,1,cold_start
129008,1,cold_start
129115,1,cold_start
129371,1,cold_start
129539,1,cold_start
129686,1,cold_start
129987,1,cold_start
130825,1,cold_start
131440,3,regular
131780,1,cold_start
131974,2,regular
132173,2,regular
132245,1,cold_start
132294,1,cold_start
132448,1,cold_start
132656,2,regular
132917,2,regular
133116,1,cold_start
133386,1,cold_start
133582,2,regular
133739,1,cold_start
133874,1,cold_start
133902,1,cold_start
133966,1,cold_start
134036,1,cold_start
134092,1,cold_start
134598,1,cold_start
134735,1,cold_start
